name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?,What do you think is the most important challenge facing the country today?,Share your thoughts on the current government's performance.,What is your opinion on Narendra Modi's leadership?
Arjun Patil,39,Non-binary,Urban,2023,Not able to vote,During the campaign,Party,BSP,No good alternative,Local political leader,Did not feel like voting,Somewhat,Don't know,Remained same,3,National Security,Not sure,No,Don't know,1,No response,No response,Narendra Modi,Women safety and empowerment need more focus.,Skill development initiatives are showing results slowly.,His leadership is visionary but divisive at times.
Arjun Patil,39,Non-binary,Urban,2024,Not able to vote,After announcement of candidates,PM candidate,AAP,No response,Caste/community leader,Was not in village/city,Somewhat,Yes,Much worse,1,Other,No,No,Don't know,3,Modi's leadership,No response,Arvind Kejriwal,Skilled labor training is insufficient to meet industry demands.,Corruption scandals are less frequent but not eradicated.,Agricultural reforms under him are controversial but necessary.
Arjun Patil,39,Non-binary,Urban,2025,Not able to vote,After announcement of candidates,PM candidate,INC,No response,Family member,Did not have necessary documents,Not at all,Don't know,Much better,5,National Security,Yes,Yes,Yes,3,Reducing poverty,Statement 2: Important for the same party to remain,Arvind Kejriwal,Corruption is still pervasive in many sectors.,Corruption scandals are less frequent but not eradicated.,His ability to connect with the masses is unmatched.
Priya yadav,59,Non-binary,Suburban,2020,Not able to vote,Even before announcement of candidates,Candidate,BSP,No response,Caste/community leader,Did not feel like voting,Great deal,Did not respond,No response,3,Education,Yes,No,Yes,4,Employment opportunities,Statement 1: Promotes development,Rahul Gandhi,Accessibility for the differently-abled is often ignored.,Skill development initiatives are showing results slowly.,His reforms are long-term but challenging in the short term.
Priya yadav,59,Non-binary,Suburban,2021,Not able to vote,After announcement of candidates,Candidate,INC,Really wanted to vote,Family member,Did not have necessary documents,Great deal,Don't know,Better,1,Economy,Not sure,Yes,Yes,1,Reducing poverty,No response,Other,The divide between urban and rural areas is widening.,Public transport systems have improved drastically.,Modi has brought India global recognition like never before.
Priya yadav,59,Non-binary,Suburban,2022,Not able to vote,On the day of voting,No response,BSP,Really wanted to vote,Friends/neighbors,Was not in village/city,Somewhat,Yes,Worse,3,National Security,Not sure,No,Don't know,5,Modi's leadership,Statement 2: Important for the same party to remain,Other,Judicial delays are denying timely justice.,Technology integration in governance is appreciated.,Agricultural reforms under him are controversial but necessary.
Priya yadav,59,Non-binary,Suburban,2023,Not able to vote,No response,Candidate,Not sure,No good alternative,Friends/neighbors,Was ill,No response,Yes,Much worse,4,Education,No,No,No,5,Improving infrastructure,Statement 1: Promotes development,Other,Transportation infrastructure needs massive upgrades.,Employment generation has not kept up with promises.,His communication skills are his strongest asset.
Priya yadav,59,Non-binary,Suburban,2024,Able to vote,Even before announcement of candidates,PM candidate,BJP,No good alternative,Friends/neighbors,No response,Not at all,Did not respond,Remained same,4,Healthcare,Yes,No,Yes,4,Improving infrastructure,Statement 1: Promotes development,Narendra Modi,The lack of job security in the gig economy is troubling.,Support for startups has been promising.,There is a clear gap between his vision and execution.
Priya yadav,59,Non-binary,Suburban,2025,Not able to vote,After announcement of candidates,No response,AAP,No response,Local political leader,Did not feel like voting,Somewhat,No,Worse,4,Healthcare,Not sure,No,Don't know,1,Modi's leadership,No response,Arvind Kejriwal,The disparity in healthcare costs is concerning.,The infrastructure development has been remarkable.,He has a polarizing effect on the electorate.
Simran Patil,51,Female,Rural,2020,Able to vote,No response,No response,INC,No good alternative,Don't know,No response,Not at all,Did not respond,Better,1,Healthcare,No,Yes,Don't know,1,Reducing poverty,Statement 1: Promotes development,Priyanka Gandhi,Poverty alleviation programs are not reaching the grassroots.,The infrastructure development has been remarkable.,Economic policies under him are bold but risky.
Simran Patil,51,Female,Rural,2021,Able to vote,After announcement of candidates,Candidate,BJP,Really wanted to vote,Other,No response,No response,Yes,Much worse,5,Other,Not sure,Yes,No,4,Global image,Statement 1: Promotes development,Narendra Modi,Women safety and empowerment need more focus.,Skill development initiatives are showing results slowly.,He has a strong focus on national security.
Simran Patil,51,Female,Rural,2022,Able to vote,On the day of voting,No response,INC,Really wanted to vote,Local political leader,No response,No response,Don't know,No response,3,National Security,Not sure,Yes,Yes,4,No response,No response,Other,Accessibility for the differently-abled is often ignored.,Technology integration in governance is appreciated.,He has a polarizing effect on the electorate.
Simran Patil,51,Female,Rural,2023,Able to vote,No response,No response,Not sure,No good alternative,Friends/neighbors,No response,Not at all,Did not respond,Much better,2,Healthcare,Yes,No,Don't know,3,Other,No response,No response,Access to quality education is a significant concern.,Technology integration in governance is appreciated.,His reforms are long-term but challenging in the short term.
Simran Patil,51,Female,Rural,2024,Not able to vote,On the day of voting,No response,AAP,Really wanted to vote,Local political leader,Was not in village/city,Great deal,No,Worse,3,Economy,Yes,No,No,3,Improving infrastructure,Statement 2: Important for the same party to remain,Arvind Kejriwal,The lack of job security in the gig economy is troubling.,Environmental conservation is not getting due priority.,Digital India is one of his landmark achievements.
Simran Patil,51,Female,Rural,2025,Able to vote,A day or two before voting,Candidate,BSP,No good alternative,Local political leader,No response,Not at all,Yes,Much better,2,Healthcare,Not sure,No,Don't know,3,Other,Statement 1: Promotes development,Rahul Gandhi,Environmental degradation is becoming a crisis.,The push for renewable energy is commendable.,The handling of economic crises is his weak point.
saurabh Patil,53,Male,Suburban,2020,Not able to vote,After announcement of candidates,No response,AAP,Really wanted to vote,Religious leader,Did not have necessary documents,No response,Don't know,No response,3,Economy,Not sure,No,No,3,Modi's leadership,No response,Arvind Kejriwal,Corruption is still pervasive in many sectors.,The push for renewable energy is commendable.,Social welfare programs have expanded under his tenure.
saurabh Patil,53,Male,Suburban,2021,Not able to vote,On the day of voting,No response,Not sure,No good alternative,Friends/neighbors,Was ill,Not at all,Did not respond,No response,3,National Security,Yes,No,Yes,5,Reducing poverty,Statement 2: Important for the same party to remain,Other,Judicial delays are denying timely justice.,Social harmony remains a challenge for this government.,There is a clear gap between his vision and execution.
saurabh Patil,53,Male,Suburban,2022,Able to vote,A day or two before voting,PM candidate,INC,No response,Don't know,No response,Somewhat,Yes,Worse,2,Economy,Yes,No,Don't know,2,Improving infrastructure,No response,Priyanka Gandhi,Digital literacy is critical for inclusive growth.,The crackdown on black money is partially effective.,His communication skills are his strongest asset.
saurabh Patil,53,Male,Suburban,2023,Not able to vote,After announcement of candidates,No response,INC,No good alternative,Caste/community leader,Did not have necessary documents,Somewhat,No,Worse,4,Healthcare,Yes,No,No,5,Other,Statement 1: Promotes development,No response,Digital literacy is critical for inclusive growth.,Environmental conservation is not getting due priority.,He has a strong focus on national security.
saurabh Patil,53,Male,Suburban,2024,Not able to vote,During the campaign,Candidate,INC,No response,Family member,Did not feel like voting,Great deal,No,Remained same,2,Other,No,Yes,No,2,Modi's leadership,Statement 2: Important for the same party to remain,No response,Access to quality education is a significant concern.,Technology integration in governance is appreciated.,His governance style is centralized but effective.
saurabh Patil,53,Male,Suburban,2025,Able to vote,On the day of voting,Party,INC,No good alternative,Other,No response,Not at all,Don't know,Better,4,National Security,Yes,No,No,1,Global image,Statement 2: Important for the same party to remain,Priyanka Gandhi,Healthcare in rural areas is inadequate.,Corruption scandals are less frequent but not eradicated.,Criticism on freedom of speech has grown under his tenure.
sushant yadav,18,Non-binary,Suburban,2020,Able to vote,During the campaign,No response,BSP,No good alternative,Other,No response,No response,No,No response,5,Education,Not sure,No,No,1,Reducing poverty,No response,Narendra Modi,Access to quality education is a significant concern.,Education initiatives are underfunded and overlooked.,There is a clear gap between his vision and execution.
sushant yadav,18,Non-binary,Suburban,2021,Able to vote,A day or two before voting,No response,INC,No good alternative,Other,No response,Somewhat,Don't know,No response,5,Education,Yes,Yes,Yes,3,Improving infrastructure,No response,Rahul Gandhi,Public housing availability is still very low.,Budget allocations favor the wealthy over the poor.,Social welfare programs have expanded under his tenure.
sushant yadav,18,Non-binary,Suburban,2022,Not able to vote,On the day of voting,Party,AAP,No response,Other,Other,Not at all,No,Much better,3,Healthcare,Yes,No,Yes,5,No response,No response,Arvind Kejriwal,Unemployment among the youth is alarming.,Support for startups has been promising.,His ability to connect with the masses is unmatched.
sushant yadav,18,Non-binary,Suburban,2023,Able to vote,During the campaign,No response,BJP,No response,Don't know,No response,Not at all,Did not respond,Better,1,National Security,Yes,Yes,Yes,2,Reducing poverty,No response,Narendra Modi,Rising inflation is affecting middle-class families heavily.,"Economic growth is visible, but inflation persists.",He has a strong focus on national security.
sushant yadav,18,Non-binary,Suburban,2024,Not able to vote,Even before announcement of candidates,No response,BSP,Really wanted to vote,Local political leader,Other,Not at all,Don't know,Better,3,Education,Not sure,Yes,Yes,1,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi,Water scarcity is a growing challenge in arid regions.,Technology integration in governance is appreciated.,His policies have been harsh on small businesses.
